"state","sid","state_abbrev","measles_1965","measlesrate_1965","tetanus_1965","tetanusrate_1965","pertussis_1965","pertussisrate_1965","syphilis_1965","syphilisrate_1965","population_1965","measles_1966","measlesrate_1966","tetanus_1966","tetanusrate_1966","pertussis_1966","pertussisrate_1966","syphilis_1966","syphilisrate_1966","population_1966","measles_1967","measlesrate_1967","tetanus_1967","tetanusrate_1967","pertussis_1967","pertussisrate_1967","syphilis_1967","syphilisrate_1967","population_1967","measles_1968","measlesrate_1968","tetanus_1968","tetanusrate_1968","pertussis_1968","pertussisrate_1968","syphilis_1968","syphilisrate_1968","population_1968","measles_1969","measlesrate_1969","tetanus_1969","tetanusrate_1969","pertussis_1969","pertussisrate_1969","syphilis_1969","syphilisrate_1969","population_1969","measles_1970","measlesrate_1970","tetanus_1970","tetanusrate_1970","pertussis_1970","pertussisrate_1970","syphilis_1970","syphilisrate_1970","population_1970","measles_1971","measlesrate_1971","tetanus_1971","tetanusrate_1971","pertussis_1971","pertussisrate_1971","syphilis_1971","syphilisrate_1971","population_1971","measles_1972","measlesrate_1972","tetanus_1972","tetanusrate_1972","pertussis_1972","pertussisrate_1972","syphilis_1972","syphilisrate_1972","population_1972","measles_1973","measlesrate_1973","tetanus_1973","tetanusrate_1973","pertussis_1973","pertussisrate_1973","syphilis_1973","syphilisrate_1973","population_1973","measles_1974","measlesrate_1974","tetanus_1974","tetanusrate_1974","pertussis_1974","pertussisrate_1974","syphilis_1974","syphilisrate_1974","population_1974","measles_1975","measlesrate_1975","tetanus_1975","tetanusrate_1975","pertussis_1975","pertussisrate_1975","syphilis_1975","syphilisrate_1975","population_1975","measles_1976","measlesrate_1976","tetanus_1976","tetanusrate_1976","pertussis_1976","pertussisrate_1976","syphilis_1976","syphilisrate_1976","population_1976","measles_1977","measlesrate_1977","tetanus_1977","tetanusrate_1977","pertussis_1977","pertussisrate_1977","syphilis_1977","syphilisrate_1977","population_1977","measles_1978","measlesrate_1978","tetanus_1978","tetanusrate_1978","pertussis_1978","pertussisrate_1978","syphilis_1978","syphilisrate_1978","population_1978"
"Nuevo León",19,"NLE",238,18.2,,,109,8.3,138,10.6,,1525,112.5,5,0.4,522,38.5,400,29.5,,810,52.6,11,0.7,343,22.3,296,19.2,1535000,1061,66.1,4,0.2,336,20.9,842,52.5,1605000,1312,78.2,15,0.9,436,26,411,24.5,1678000,1434,83.5,5,0.3,401,23.4,252,14.7,1716396,1375,75.9,10,0.6,525,29,573,31.6,1811307,2035,107.2,12,0.6,577,30.4,560,29.5,1898172,118,5.9,7,0.4,387,19.5,746,37.5,1989203,71,3.4,3,0.1,331,15.9,1005,48.2,2084599,48,2.1,,,37,1.7,873,39,2240411,846,36.1,1,0,173,7.4,800,34.1,2343578,694,28.3,3,0.1,139,5.7,990,40.3,2456525,94,3.7,8,0.3,12,0.5,951,37,2570649
"Oaxaca",20,"OAX",3397,178.2,16,0.8,971,50.9,315,16.5,,1280,65.8,10,0.5,726,37.3,116,6,,2405,115.4,12,0.6,1316,63.2,139,6.7,2072000,1734,81.8,11,0.5,1157,54.6,143,6.7,2119000,1168,53.8,9,0.4,817,37.6,189,8.7,2170000,1829,83.2,8,0.4,908,41.3,287,13,2199549,2152,95.8,11,0.5,1665,74.1,192,8.5,2246285,2160,93.9,23,1,2363,102.7,164,7.1,2300281,275,11.7,11,0.5,1878,79.7,107,4.5,2355575,90,3.7,14,0.6,956,39.6,239,9.9,2412198,157,6.8,9,0.4,341,14.9,198,8.6,2294542,2526,108.1,10,0.4,911,39,68,2.9,2337345,1519,63.9,12,0.5,1560,65.6,125,5.3,2377720,371,15.4,8,0.3,343,14.2,162,6.7,2416678
"Puebla",21,"PUE",1625,74.6,10,0.5,635,29.2,330,15.2,,1054,47.5,7,0.3,620,27.9,246,11.1,,2284,93.6,16,0.7,2246,92.1,384,15.7,2438000,2158,86.2,9,0.4,1585,63.3,169,6.7,2504000,1103,42.8,7,0.3,565,21.9,215,8.3,2575000,1335,52.6,11,0.4,405,15.9,151,5.9,2540352,749,28.8,11,0.4,748,28.8,132,5.1,2598370,1620,60.8,6,0.2,663,24.9,190,7.1,2663758,244,8.9,6,0.2,715,26.2,360,13.2,2730791,51,1.8,3,0.1,180,6.4,61,2.2,2799511,27,0.9,5,0.2,116,3.9,70,2.4,2974183,746,24.4,4,0.1,148,4.8,100,3.3,3054130,362,11.6,23,0.7,254,8.1,75,2.4,3133474,185,5.7,13,0.4,152,4.7,36,1.1,3220005
"Querétaro",22,"QUE",341,86.1,2,0.5,126,31.8,133,33.6,,794,196.3,4,1,175,43.3,115,28.4,,616,138.6,17,3.8,732,164.7,138,31,444000,769,169,11,2.4,524,115.2,97,21.3,455000,305,65.3,26,5.6,381,81.6,95,20.3,467000,1038,211.1,5,1,527,107.2,111,22.6,491743,378,74.2,4,0.8,593,116.6,68,13.4,508457,1424,271.1,12,2.3,467,88.9,123,23.4,525237,87,16,9,1.7,159,29.3,60,11.1,542570,25,4.5,2,0.4,130,23.2,89,15.9,560475,13,2.2,3,0.5,65,10.9,119,19.9,598445,618,100.2,3,0.5,90,14.6,86,13.9,617059,310,48.5,2,0.3,60,9.4,44,6.9,638839,67,10.1,7,1.1,39,5.9,62,9.4,662745
"Quintana Roo",23,"ROO",55,80.1,,,44,64.1,,,,102,139.6,1,1.4,30,41,,,,113,156.8,,,48,66.6,2,2.8,72000,7,9.2,,,116,152.6,1,1.3,76000,271,338.8,,,34,42.5,3,3.8,80000,135,151.2,,,35,39.2,,,89280,158,164.9,1,1,127,132.6,1,1,95792,174,171.3,1,1,101,99.4,9,8.9,101560,196,182,1,0.9,35,32.5,16,14.9,107675,10,8.8,1,0.9,34,29.8,19,16.6,114158,19,15.4,3,2.4,21,17,15,12.2,123298,174,132.9,2,1.5,5,3.8,33,25.2,130891,244,175.7,7,5,93,67,28,20.2,138878,24,16.3,1,0.7,80,54.3,60,40.7,147277
"San Luis Potosí",24,"SLP",1102,94.9,54,4.6,839,72.2,562,48.4,,1247,152.2,23,1.9,486,41,142,12,,955,69.7,34,2.5,1791,130.7,90,6.6,1355000,2236,160.3,40,2.9,516,37,60,4.3,1395000,1357,94.5,34,2.4,789,54.9,51,3.6,1436000,1457,112.2,19,1.5,566,43.6,62,4.8,1298416,1298,98.3,14,1.1,1190,90.1,126,9.5,1320556,2426,179.9,18,1.3,548,40.6,115,8.5,1348413,1091,79.2,11,0.8,407,29.6,107,7.8,1376858,93,6.6,18,1.3,386,27.5,107,7.6,1405903,79,5.3,15,1,136,9.1,89,6,1491602,1077,70.5,20,1.3,120,7.9,202,13.2,1527065,1355,86.8,33,2.1,618,39.6,130,8.3,1560601,71,4.4,24,1.5,52,3.3,120,7.5,1599961
"Sinaloa",25,"SIN",815,84.5,101,10.5,775,80.4,261,27.1,,1747,176.2,64,6.5,660,66.6,532,53.7,,926,83.3,151,13.6,957,86.1,621,55.9,1106000,1239,108.2,83,7.2,500,43.7,403,35.2,1145000,1000,84.4,99,8.4,378,31.9,628,53,1185000,1239,96.6,72,5.6,471,36.7,421,32.8,1282751,1259,93.5,108,8,690,51.3,283,21,1345978,1123,79.9,99,7,302,21.5,171,12.2,1404830,671,45.8,120,8.2,381,26,325,22.2,1466255,42,2.7,85,5.6,173,11.3,438,28.6,1530366,18,1.1,90,5.5,58,3.5,266,16.2,1641966,581,33.9,66,3.9,112,6.5,211,12.3,1714053,906,50.7,46,2.6,238,13.3,407,22.8,1786681,66,3.5,41,2.2,154,8.3,211,11.3,1861043
"Sonora",26,"SON",1913,106.6,45,4.6,487,50.1,244,25.1,,1830,180.2,30,3,541,53.3,240,23.6,,1868,164.4,29,2.6,1377,121.2,333,29.3,1136000,1351,113.3,34,2.9,753,63.2,431,36.2,1192000,1450,116.1,25,2,249,19.9,553,44.3,1249000,1009,90.7,13,1.2,360,32.4,373,33.5,1112793,1283,111.1,10,0.9,617,53.4,505,43.7,1154911,1111,92.9,8,0.7,452,37.8,366,30.6,1196159,736,59.4,9,0.7,428,34.5,326,26.3,1238880,40,3.1,9,0.7,188,14.7,356,27.7,1283127,19,1.4,12,0.9,140,10.2,446,32.6,1368305,111,7.8,7,0.5,52,3.7,1156,81.7,1414872,972,66.2,9,0.6,93,6.3,215,14.6,1468231,88,5.8,,,95,6.3,248,16.3,1519628
"Tabasco",27,"TAB",1218,209.4,28,4.8,436,75,119,20.5,,640,106.6,9,1.5,399,66.5,97,16.2,,1082,167.7,19,2.9,759,117.6,156,24.2,644000,1069,160.3,19,2.8,877,131.5,156,23.4,667000,737,106.6,13,1.9,753,109,56,8.1,691000,1171,150.5,17,2.2,324,41.6,50,6.4,778169,908,110.8,19,2.3,904,110.3,149,18.2,819445,1036,120.8,21,2.4,827,96.4,128,14.9,857441,112,14.5,31,3.5,331,36.9,56,6.2,897199,21,2.2,50,5.3,151,16.1,49,5.2,938800,3,0.3,87,8.6,104,10.3,56,5.6,1007433,463,44,45,4.3,100,9.5,48,4.6,1053363,85,7.7,28,2.5,88,8,40,3.6,1101335,6,0.5,44,3.8,44,3.8,61,5.3,1151436
"Tamaulipas",28,"TAM",1068,87.1,69,5.6,411,33.5,900,73.4,,2330,183.5,83,6.5,748,58.9,540,42.5,,1271,91.5,117,8.4,1505,108.4,797,57.4,1379000,3063,213.9,70,4.9,561,39.2,521,36.4,1432000,1254,84.3,67,4.5,501,33.7,430,28.9,1487000,2028,137.4,41,2.8,657,44.5,252,17.1,1475519,1229,80.1,30,0.2,804,52.4,393,25.6,1534517,1866,117.2,37,2.3,331,20.8,331,20.8,1591646,595,36,41,2.5,319,19.3,261,15.8,1650901,32,1.9,24,1.4,97,5.7,292,17.1,1712362,16,0.9,23,1.3,59,3.2,425,23.2,1828416,291,15.3,24,1.3,43,2.3,357,18.8,1901040,261,13.3,15,0.8,47,2.4,289,14.6,1968837,23,1.1,8,0.4,8,0.4,208,10.2,2041791
"Tlaxcala",29,"TLA",1197,312.4,,,279,72.8,83,21.7,,1025,262.3,,,342,87.5,15,3.8,,1290,299.3,,,930,215.8,76,17.6,431000,1290,291.2,,,306,69.1,58,13.1,443000,689,151.8,,,131,28.8,31,6.8,454000,753,176.7,,,102,23.9,21,4.9,426027,924,213.5,,,502,116,18,4.2,432800,736,166.7,,,373,84.5,17,3.8,441567,220,48.8,,,105,23.3,40,8.9,450512,11,2.4,,,20,4.4,55,12,459638,6,1.2,,,19,3.9,45,9.2,490184,156,31.3,,,33,6.6,27,5.4,498633,65,12.7,2,0.4,8,1.6,13,2.5,512234,23,6.3,2,0.4,1,0.2,11,2.1,522163
"Veracruz",30,"VER",2592,82,127,4,2661,84.2,1349,42.7,,2357,72.5,98,3,1477,45.4,838,25.8,,2769,80.3,180,5.2,3304,95.8,1130,32.8,3409000,3790,107.8,146,4.2,2715,77.2,933,26.5,3517000,1407,38.8,76,2.1,1456,40.1,913,25.2,3629000,2640,68.3,72,1.9,873,22.6,706,18.3,3864288,2378,59.3,88,2.2,2589,64.6,844,21.1,4008919,3301,79.5,68,1.6,1820,43.8,606,14.6,4150907,1599,37.2,28,0.7,1081,25.2,572,13.3,4297924,168,3.8,34,0.8,653,14.7,306,6.9,4450148,102,2.1,37,0.8,270,5.7,534,11.3,4745461,2346,47.7,28,0.6,462,9.4,195,4,4917773,1220,24,47,0.9,976,19.2,518,10.2,5091331,121,2.3,50,1,334,6.3,215,4.1,5275185
"Yucatán",31,"YUC",1175,175.4,67,10,2838,423.6,104,15.5,,4492,659,42,6.2,2157,316.5,23,3.4,,2126,274.3,50,6.4,2737,353.1,22,2.8,775000,2139,268.7,23,2.9,1862,233.9,137,17.2,796000,2341,286.5,32,3.9,1234,151,132,16.2,817000,2528,329.1,15,2,1632,212.5,140,18.2,768069,1851,236.6,19,2.4,1319,168.6,104,13.3,782315,2534,316.9,19,2.4,1758,219.9,135,16.9,799633,609,74.5,9,1.1,785,96,204,25,817334,42,5,3,0.4,611,73.1,284,34,835427,67,7.6,2,0.2,271,30.7,225,25.4,884135,250,27.7,3,0.3,54,6,203,22.5,903773,760,82,7,0.8,151,16.3,144,15.6,926283,18,1.9,17,1.8,167,17.6,101,10.6,950604
"Zacatecas",32,"ZAC",469,51.7,13,1.4,344,37.9,139,15.3,,1703,183.8,7,0.8,773,83.4,89,9.6,,1089,104.5,8,0.8,1081,103.8,9,0.9,1031000,1321,125.1,3,0.3,262,24.8,73,6.9,1056000,238,22,2,0.2,93,8.6,,,1082000,1206,125.1,,,431,44.7,45,4.7,963649,543,55.8,7,0.7,932,95.8,68,7,972907,1470,148.7,7,0.7,319,32.3,49,5,988300,193,19.2,10,1,309,30.8,51,5.1,1003937,29,2.8,3,0.3,315,30.9,79,7.7,1019821,41,3.8,11,1,50,4.6,102,9.5,1076600,484,44.1,12,1.1,93,8.5,52,4.7,1096993,448,40.2,7,0.6,81,7.3,36,3.2,1114898,31,2.7,1,0.1,27,2.4,49,4.3,1131353
